LAT,LON,YEAR,DOY,T2M_MAX,T2M_MIN
14.75,-84.25,2015,263,29.59,24.1
12.75,-86.25,2015,264,29.64,22.33
12.75,-85.75,2015,264,28.32,22.32
12.75,-85.25,2015,264,28.43,23.29
12.75,-84.75,2015,264,28.81,24.31
12.75,-84.25,2015,264,28.93,25.13
13.25,-86.25,2015,264,27.87,20.62
13.25,-85.75,2015,264,27.56,21.28
13.25,-85.25,2015,264,28.52,22.75
13.25,-84.75,2015,264,29.38,24.14
13.25,-84.25,2015,264,29.54,25.14
13.75,-86.25,2015,264,27.8,20.22
13.75,-85.75,2015,264,27.96,21.05
13.75,-85.25,2015,264,28.38,22.37
13.75,-84.75,2015,264,29.02,23.73
13.75,-84.25,2015,264,29.57,24.89
14.25,-86.25,2015,264,28.28,20.3
14.25,-85.75,2015,264,28.48,21.09
14.25,-85.25,2015,264,28.18,22.28
14.25,-84.75,2015,264,28.25,23.53
14.25,-84.25,2015,264,28.88,24.64
14.75,-86.25,2015,264,28,20.16
14.75,-85.75,2015,264,27.71,20.59
14.75,-85.25,2015,264,27.54,22.01
14.75,-84.75,2015,264,27.74,23.53
14.75,-84.25,2015,264,28.36,24.7
12.75,-86.25,2015,265,28.2,22.27
12.75,-85.75,2015,265,26.68,21.81
12.75,-85.25,2015,265,26.88,22.56
12.75,-84.75,2015,265,27.38,23.48
12.75,-84.25,2015,265,27.54,24.23
13.25,-86.25,2015,265,26.88,20.61
13.25,-85.75,2015,265,26.63,20.99
13.25,-85.25,2015,265,27.4,22.21
13.25,-84.75,2015,265,28.27,23.42
13.25,-84.25,2015,265,28.59,24.3
13.75,-86.25,2015,265,27.17,20.31
13.75,-85.75,2015,265,27.14,20.95
13.75,-85.25,2015,265,27.69,21.84
13.75,-84.75,2015,265,28.49,22.88
13.75,-84.25,2015,265,28.97,23.92
14.25,-86.25,2015,265,27.44,20.47
14.25,-85.75,2015,265,27.35,21.32
14.25,-85.25,2015,265,27.64,22.05
14.25,-84.75,2015,265,27.99,22.81
14.25,-84.25,2015,265,28.19,23.65
14.75,-86.25,2015,265,26.85,20.09
14.75,-85.75,2015,265,26.56,20.9
14.75,-85.25,2015,265,26.81,21.98
14.75,-84.75,2015,265,27.15,22.92
14.75,-84.25,2015,265,27.45,23.66
12.75,-86.25,2015,266,29.15,21.14
12.75,-85.75,2015,266,27.55,21.03
12.75,-85.25,2015,266,27.45,21.87
12.75,-84.75,2015,266,27.64,22.91
12.75,-84.25,2015,266,27.64,23.89
13.25,-86.25,2015,266,27.4,19.55
13.25,-85.75,2015,266,26.87,20.11
13.25,-85.25,2015,266,27.69,21.39
13.25,-84.75,2015,266,28.61,22.62
13.25,-84.25,2015,266,28.87,23.62
